customer_id,first_name,last_name,email,gender,age,age_group,city,state,region,registration_date,loyalty_tier,total_orders,total_spent
C0001,Layla,Harris,Harris.Layla@gmail.com,Male,40,36-45,Philadelphia,PA,Northeast,11/30/2021,Silver,2,1531.54
C0002,Nour,Thomas,Thomas.Nour@gmail.com,Female,17,18-25,Phoenix,AZ,Southwest,4/27/2021,Gold,6,4977.73
C0003,Karen,Garcia,Garcia.Karen@gmail.com,Male,27,26-35,Houston,TX,South,1/15/2023,Silver,3,2287.34
C0004,Nour,Moore,Moore.Nour@gmail.com,Male,34,26-35,Houston,TX,South,4/19/2023,Silver,1,126.81
C0005,Ahmed,Moore,Moore.Ahmed@gmail.com,Male,47,46+,San Diego,CA,West,9/16/2021,Platinum,2,1968.55
C0006,Jessica,Thomas,Thomas.Jessica@gmail.com,Male,21,18-25,Chicago,IL,Midwest,4/5/2022,Gold,4,2440.97
C0007,Richard,Thompson,Thompson.Richard@gmail.com,Female,27,26-35,San Diego,CA,West,7/11/2022,Bronze,1,489.87
C0008,Khalid,Thompson,Thompson.Khalid@gmail.com,Male,22,18-25,Philadelphia,PA,Northeast,4/22/2021,Bronze,4,1473.11
C0009,Ahmed,King,King.Ahmed@gmail.com,Male,46,46+,Philadelphia,PA,Northeast,7/31/2022,Platinum,5,2495.56
C0010,David,Jackson,Jackson.David@gmail.com,Male,20,18-25,San Antonio,TX,South,1/11/2021,Bronze,2,1437.33
C0011,Thomas,Martin,Martin.Thomas@gmail.com,Male,44,36-45,Phoenix,AZ,Southwest,4/2/2022,Silver,5,4376.77
C0012,Hassan,Young,Young.Hassan@gmail.com,Male,33,26-35,San Antonio,TX,South,12/20/2021,Bronze,2,1337.82
C0013,Barbara,Jackson,Jackson.Barbara@gmail.com,Male,49,46+,San Diego,CA,West,4/29/2021,Platinum,1,351.08
C0014,Barbara,Taylor,Taylor.Barbara@gmail.com,Female,38,36-45,Chicago,IL,Midwest,3/15/2023,Bronze,3,1717.63
C0015,Susan,Harris,Harris.Susan@gmail.com,Male,32,26-35,Dallas,TX,South,3/25/2022,Platinum,3,2390.68
C0016,John,Moore,Moore.John@gmail.com,Male,39,36-45,San Diego,CA,West,4/10/2023,Platinum,3,3168.36
C0017,Amira,Taylor,Taylor.Amira@gmail.com,Male,53,46+,Los Angeles,CA,West,11/25/2022,Bronze,6,4828.07
C0018,Jennifer,Thompson,Thompson.Jennifer@gmail.com,Male,30,26-35,Houston,TX,South,12/5/2021,Gold,0,0
